地图柱状图数据
日期,地区,happy,good,anger,sorrow,fear,evil,surprise,synthesize
20150317,长沙市,260,1081,0,82,65,380,37,329.6561279296875
20150318,长沙市,544,2270,12,125,122,516,21,382.974609375
20150319,长沙市,562,2321,0,127,65,742,27,623.80517578125
20150320,长沙市,889,3674,20,238,141,827,43,263.4410400390625
20150321,长沙市,139,523,20,72,27,189,13,47.71875
20150322,长沙市,143,850,0,41,48,79,5,1060.75
20150323,长沙市,0,0,0,0,0,0,0,0
20150317,株洲市,95,461,7,10,1,107,0,225.8125
20150318,株洲市,60,318,35,66,16,163,15,155.29296875
20150319,株洲市,165,312,0,13,7,143,0,245.75
20150320,株洲市,171,1159,14,102,71,361,10,390.03125
20150321,株洲市,110,460,11,42,27,866,39,-917.25
20150322,株洲市,61,472,14,54,17,218,5,141.9375
20150323,株洲市,0,5,0,10,0,4,0,-21
20150317,湘潭市,80,511,0,50,35,137,24,-31.15234375
20150318,湘潭市,561,3159,49,265,196,689,46,1296.759084224701
20150319,湘潭市,770,2883,42,469,102,976,27,-32.99747812747955
20150320,湘潭市,556,2616,50,347,163,790,45,431.7367477416992
20150321,湘潭市,395,1260,13,109,58,538,10,167.5155029296875
20150322,湘潭市,432,2208,26,213,182,920,61,131.58984375
20150323,湘潭市,5,5,0,0,0,0,0,35
20150317,衡阳市,277,1609,5,152,58,448,3,1614.2135467529297
20150318,衡阳市,148,954,45,32,40,278,12,64.28770446777344
20150319,衡阳市,254,904,30,133,77,397,12,262.6311989426613
20150320,衡阳市,266,1622,25,194,49,546,24,226.09789156913757
20150321,衡阳市,249,1506,21,141,80,661,24,167.3822402060032
20150322,衡阳市,212,958,41,200,77,938,15,0.785400390625
20150323,衡阳市,53,197,0,0,35,21,0,342
20150317,岳阳市,464,1373,21,96,53,646,10,422.2213134765625
20150318,岳阳市,531,2001,19,198,181,876,27,287.5868225097656
20150319,岳阳市,589,3315,108,157,156,797,17,1040.525146484375
20150320,岳阳市,516,2296,28,224,191,868,35,205.9581937789917
20150321,岳阳市,221,974,5,58,25,671,19,51.341796875
20150322,岳阳市,332,1420,12,106,73,546,37,60.09814453125
20150323,岳阳市,55,146,0,48,32,78,0,41.25
20150317,益阳市,196,987,33,261,37,1034,24,163.81427192687988
20150318,益阳市,625,1961,19,168,129,780,65,-24.01528000831604
20150319,益阳市,118,408,0,41,75,192,17,79.93310546875
20150320,益阳市,476,2391,40,126,81,732,5,139.04718589782715
20150321,益阳市,157,1026,15,104,60,446,47,264.40625
20150322,益阳市,318,1090,5,107,31,378,12,755.8974609375
20150323,益阳市,6,69,12,8,0,46,0,-2.5
20150316,常德市,306,466,3,56,56,235,8,337.3125
20150317,常德市,182,483,7,61,46,174,0,371.875
20150318,常德市,52,127,7,26,29,121,0,-47.625
20150319,常德市,125,470,0,60,13,243,0,118.34375
20150320,常德市,40,276,0,8,5,145,7,195.8125
20150321,常德市,112,530,7,19,15,73,16,553.0625
20150322,常德市,36,177,0,0,7,29,0,189.0625
20150317,邵阳市,63,314,0,48,5,368,5,-14.9375
20150318,邵阳市,69,388,19,23,45,148,13,135.875
20150319,邵阳市,96,476,0,80,83,252,15,-16.159332275390625
20150320,邵阳市,455,2543,61,404,189,1483,51,30.364566765725613
20150321,邵阳市,428,2679,81,286,96,1064,11,118.21957385540009
20150322,邵阳市,304,1268,51,161,121,802,47,83.22739791870117
20150323,邵阳市,131,1469,35,114,71,502,57,747.5654296875
20150317,娄底市,0,15,0,0,7,19,0,-19
20150318,娄底市,198,1222,0,52,60,88,0,433.0625
20150319,娄底市,74,384,11,66,27,204,0,-12.5078125
20150320,娄底市,689,3188,8,98,257,235,5,2137.0146484375
20150321,娄底市,330,1623,7,71,85,186,0,1880.615234375
20150322,娄底市,103,624,14,134,85,409,9,-19.15625
20150323,娄底市,78,181,0,46,6,167,0,44.5
20150317,永州市,91,336,7,35,0,39,0,118.0428466796875
20150318,永州市,554,1221,14,51,204,388,10,1410.6137771606445
20150319,永州市,194,1205,28,68,77,1020,5,-203.46712112426758
20150320,永州市,481,2200,9,203,128,1243,73,-331.1058906316757
20150321,永州市,379,2228,55,161,124,867,3,238.12712860107422
20150322,永州市,459,4042,80,101,197,1111,5,3483.0682471990585
20150323,永州市,186,431,9,70,19,211,22,2.78125
20150316,郴州市,42,195,0,25,1,86,0,49.25
20150317,郴州市,44,362,0,0,5,35,0,1117
20150318,郴州市,98,215,7,87,14,25,3,327
20150319,郴州市,174,688,5,64,14,105,0,656.75
20150320,郴州市,114,245,0,32,10,131,5,94.75
20150321,郴州市,153,223,9,91,8,206,10,125
20150322,郴州市,37,237,14,27,13,74,5,229.5
20150317,怀化市,237,913,12,108,59,594,39,-99.33172607421875
20150318,怀化市,221,779,7,132,39,250,10,231.19366455078125
20150319,怀化市,116,909,10,41,92,260,8,234.54575538635254
20150320,怀化市,507,2260,22,183,145,667,38,672.1044921875
20150321,怀化市,212,1292,5,112,9,185,5,1015.40625
20150322,怀化市,110,411,5,12,3,55,18,265.75
20150323,怀化市,7,17,0,14,0,8,0,9.5
20150313,湘西州,58,215,0,0,25,102,0,194
